,Proteomics,MIF,Druggability,Structure,MSF,TM,Target,Essential,prediction,Product Description,Gene Name or Symbol
PF3D7_0102800,0.2293394338004003,0.991,0.1679999999999999,0.3344316309719934,1.31755,3.0,0,0.0,0.005299332999009047,"seipin domain-containing protein, putative",
PF3D7_0102900,0.5579067772376323,0.0865666666666666,0.4545,0.7779552715654952,-2.5458,0.0,0,1.0,0.7096171426566776,aspartate--tRNA ligase,
PF3D7_0103000,0.7436374034887046,0.6997,0.121,0.7258687258687259,-1.0155,0.0,0,1.0,0.611377194159625,"vacuolar protein sorting-associated protein VTA1, putative",
PF3D7_0103200,0.6308110427692748,0.5333666666666667,0.805,0.8594470046082949,-0.747,11.0,0,1.0,0.7972888472699321,nucleoside transporter 4,NT4
PF3D7_0103300,0.7273377180440378,0.0927666666666666,0.6045,0.2723311546840958,-2.47965,0.0,0,1.0,0.4010349448007002,"conserved protein, unknown function",
PF3D7_0103500,0.2293394338004003,0.9336666666666668,0.9125,0.2912781130005485,0.5485,1.0,0,0.0,0.03242703940943863,"conserved Plasmodium protein, unknown function",
PF3D7_0103600,0.2293394338004003,0.7401,0.546,0.0912646675358539,-0.4246,1.0,0,0.0,0.01142293600128419,ATP-dependent DNA/RNA helicase PSH1,PSH1
PF3D7_0103700,0.2293394338004003,0.9976666666666666,0.44,0.6186915887850467,0.40435,0.0,0,0.0,0.05535296226913593,"L-seryl-tRNA(Sec) kinase, putative",PSTK
PF3D7_0103800,0.2293394338004003,0.9879,0.345,0.9342105263157896,1.6496,0.0,0,0.0,0.05143528496296711,"actin-related protein ARP1, putative",ARP1
PF3D7_0103900,0.6642836717186159,0.6675333333333334,0.4329999999999999,0.5165217391304348,-0.3561499999999999,1.0,0,1.0,0.37788718651362235,parasite-infected erythrocyte surface protein,PIESP15
PF3D7_0104000,0.2293394338004003,0.9836,0.1699999999999999,0.77,1.4057,1.0,0,0.0,0.024533181220701583,thrombospondin-related sporozoite protein,TRSP
PF3D7_0104100,0.541410384780432,0.0984666666666666,0.307,0.7007874015748031,-2.47235,5.0,0,1.0,0.5492014140396039,"protein E140, putative",
PF3D7_0104200,0.5579067772376323,0.2418666666666666,0.7785,0.4656652360515021,-2.3150500000000003,0.0,0,1.0,0.6252281552002587,StAR-related lipid transfer protein,
PF3D7_0104300,0.8204175007148985,0.531,0.1215,0.0,0.7566999999999999,0.0,0,1.0,0.019135002035621476,"ubiquitin carboxyl-terminal hydrolase 1, putative",UBP1
PF3D7_0104400,0.7436374034887046,0.6976333333333332,0.5235,0.5962616822429907,-0.5279,1.0,0,0.0,0.16326543032600938,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,LytB
PF3D7_0104500,0.2293394338004003,0.6985666666666668,0.5345,0.7148014440433214,-0.7262,0.0,0,0.0,0.11964193684750286,"conserved protein, unknown function",
PF3D7_0104600,0.2293394338004003,0.2175333333333333,0.209,0.4876773711725168,-2.2158,0.0,0,1.0,0.21452203107010817,"conserved Plasmodium protein, unknown function",
PF3D7_0104700,0.2293394338004003,0.9842666666666666,0.7555000000000001,0.5639943741209564,-0.0279,12.0,0,0.0,0.09831649655773372,"major facilitator superfamily-related transporter, putative",MFR2
PF3D7_0104800,0.5579067772376323,0.9708666666666668,0.6945,0.7348353552859619,2.58575,12.0,0,0.0,0.0363943644673633,"novel putative transporter 1, putative",NPT1
PF3D7_0105100,0.2293394338004003,0.0967666666666666,0.211,0.5734265734265734,-2.4774000000000003,0.0,0,1.0,0.26545738660602797,"conserved Apicomplexan protein, unknown function",
PF3D7_0105200,0.68974395651552,0.3450333333333333,0.3455,0.823943661971831,-2.36325,0.0,0,0.0,0.38721065180402287,RAP protein RAP1,RAP1
PF3D7_0105300,0.7505364039479331,0.1038333333333333,0.058,0.9876543209876544,-2.631,0.0,0,1.0,0.7987677996562639,cyclase-associated protein,CAP
PF3D7_0105400,0.2293394338004003,0.929,0.7304999999999999,0.3785714285714285,-2.495,2.0,0,0.0,0.288252798855137,"conserved Plasmodium protein, unknown function",
PF3D7_0105400,0.2293394338004003,0.929,0.7304999999999999,0.3785714285714285,-2.495,2.0,0,0.0,0.288252798855137,"conserved Plasmodium protein, unknown function",
PF3D7_0105500,0.2293394338004003,0.2296,0.2329999999999999,0.1947674418604651,-2.0049,0.0,0,1.0,0.07668199083156875,"conserved protein, unknown function",
PF3D7_0105600,0.7273377180440378,0.4268333333333334,0.9265,0.4109477124183006,-0.5950499999999999,2.0,0,1.0,0.46722851935273485,"FtsJ-like methyltransferase, putative",
PF3D7_0105800,0.7273377180440378,0.1275666666666666,0.302,0.15625,-2.2039,0.0,0,1.0,0.17077224506138944,"cyclin-dependent kinases regulatory subunit, putative",
PF3D7_0105900,0.2293394338004003,0.4661,0.2095,0.5959821428571429,0.56135,0.0,0,0.0,0.009447313169738859,"3'-5' exonuclease, putative",
PF3D7_0106000,0.7273377180440378,0.6638333333333333,0.1255,0.2971800433839479,-0.71845,0.0,0,1.0,0.1844011891949197,"conserved protein, unknown function",
PF3D7_0106100,0.7436374034887046,0.1032333333333333,0.0345,0.9477806788511748,-2.6277,0.0,0,1.0,0.7626165438021212,"V-type proton ATPase subunit C, putative",
PF3D7_0106200,0.8737489276522734,0.3949999999999999,0.2625,0.6883720930232559,-0.72865,0.0,0,0.0,0.11654719072251656,"EF hand domain-containing protein, putative",
PF3D7_0106300,0.6331140977981127,0.1057333333333333,0.903,0.7043973941368078,-2.31455,8.0,0,1.0,0.8036608685416647,calcium-transporting ATPase,ATP6
PF3D7_0106400,0.6331140977981127,0.1459666666666666,0.2289999999999999,0.6794871794871795,-0.71355,0.0,0,1.0,0.23662417327456534,"pre-rRNA-processing protein TSR2, putative",
PF3D7_0106700,0.7436374034887046,0.0966333333333333,0.477,0.4267782426778242,-2.2893,0.0,0,1.0,0.4509494980448777,small ribosomal subunit assembling AARP2 protein,AARP2
PF3D7_0106800,0.68974395651552,0.2681,0.257,0.7757009345794392,-1.82015,0.0,0,1.0,0.6318610067946775,ras-related protein Rab-5C,RAB5c
PF3D7_0106900,0.8169859879897055,0.1221999999999999,0.1139999999999999,0.3008130081300813,-2.36135,0.0,1,1.0,0.24650926518306196,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",IspD
PF3D7_0107000,0.5579067772376323,0.51985,0.469,0.8690476190476191,-0.6792,0.0,0,1.0,0.6536154101583534,centrin-1,CEN1
PF3D7_0107100,0.2293394338004003,0.5398666666666667,0.721,0.5488029465930019,-0.4609000000000001,0.0,0,1.0,0.30172995719588236,"conserved protein, unknown function",
PF3D7_0107200,0.2293394338004003,0.9897666666666668,0.114,0.8931750741839762,2.1261,0.0,0,0.0,0.019569562030540267,"CCR4 domain-containing protein 3, putative",CCR4-3
PF3D7_0107400,0.2293394338004003,1.0,0.3085,0.915032679738562,-2.433,1.0,0,0.0,0.5920387298942354,"ATP synthase-associated protein, putative",ATPk
PF3D7_0107500,0.8737489276522734,0.1665666666666666,0.7695,0.5530612244897959,-2.06875,12.0,1,1.0,0.7187585512138954,Niemann-Pick type C1-related protein,NCR1
PF3D7_0107800,0.2293394338004003,0.999,0.3755,0.3195458231954582,1.33005,0.0,0,0.0,0.0078060908389195474,double-strand break repair protein MRE11,MRE11
PF3D7_0107900,0.2293394338004003,0.2667333333333333,0.3955,0.3963636363636363,-0.6811499999999999,0.0,0,1.0,0.07955124450537826,"conserved Plasmodium protein, unknown function",
PF3D7_0108000,0.68974395651552,0.1188666666666666,0.2145,0.9954128440366972,-2.3653500000000003,0.0,0,1.0,0.803131797615068,"proteasome subunit beta type-3, putative",
PF3D7_0108100,0.2293394338004003,0.2424666666666667,0.552,0.5411585365853658,-2.2754,0.0,0,1.0,0.41980174446608076,"conserved protein, unknown function",
PF3D7_0108400,0.2293394338004003,0.7512,0.6615,0.8,0.1550499999999999,5.0,0,0.0,0.10843513119789573,"mitochondrial carrier protein, putative",
PF3D7_0108400,0.2293394338004003,0.7512,0.6615,0.8,0.1550499999999999,5.0,0,0.0,0.10843513119789573,"mitochondrial carrier protein, putative",
PF3D7_0108600,0.2293394338004003,0.6984333333333334,0.201,0.5882352941176471,-0.6750499999999999,1.0,0,1.0,0.23136862441638484,"DnaJ domain-containing protein, putative",
PF3D7_0108800,0.6331140977981127,0.1408333333333333,0.752,0.7444444444444445,-2.30625,0.0,0,1.0,0.8046241067759046,"mitochondrial carrier protein, putative",
PF3D7_0109000,0.5579067772376323,0.4075,0.236,0.15625,-1.70035,0.0,0,1.0,0.13518212963045168,photosensitized INA-labeled protein PHIL1,PHIL1
PF3D7_0109100,0.2293394338004003,0.9936666666666666,0.5475000000000001,0.7677356656948494,0.6980500000000001,0.0,0,0.0,0.0888703447780592,LCCL domain-containing protein,CCp5
PF3D7_0109200,0.5932227623677437,0.1044333333333333,0.433,0.8232758620689655,-2.4333,0.0,0,1.0,0.7374775790830382,"cleavage and polyadenylation specificity factor subunit 5, putative",CFIM25
PF3D7_0109300,0.2293394338004003,0.7202666666666667,0.645,0.9875776397515528,0.07515,7.0,0,1.0,0.6243405246125593,"elongation of fatty acids protein, putative",
PF3D7_0109400,0.8204175007148985,0.7409333333333333,0.028,0.8253012048192772,-0.4554499999999999,0.0,0,1.0,0.6011289420621594,"tubulin-specific chaperone a, putative",
PF3D7_0109600,0.2293394338004003,0.1655666666666666,0.245,0.5066666666666667,-2.6,0.0,0,1.0,0.279324198754556,cold-shock protein,CoSP
PF3D7_0109700,0.2293394338004003,0.1165,0.2995,0.907103825136612,-2.12335,0.0,0,1.0,0.5350978564438256,"rRNA biogenesis protein RRP36, putative",RRP36
PF3D7_0109800,0.7273377180440378,0.162,0.2175,0.9008695652173913,-2.2826,0.0,1,1.0,0.7609956492653672,phenylalanine--tRNA ligase alpha subunit,cPheRS
PF3D7_0110000,0.2293394338004003,0.9976333333333334,0.259,0.4658119658119658,3.1111,1.0,0,0.0,0.0023916781866896567,"conserved Plasmodium protein, unknown function",
PF3D7_0110100,0.2293394338004003,0.9852666666666666,0.4875,0.5107066381156317,0.5055000000000001,0.0,0,0.0,0.037105758340180844,"selenocysteine-specific elongation factor, putative",SELB
PF3D7_0110200,0.2293394338004003,0.1540666666666666,0.494,0.8321678321678322,-2.1389,0.0,0,1.0,0.583646208832714,"FAD-linked sulfhydryl oxidase ERV1, putative",ERV1
PF3D7_0110600,0.68974395651552,0.2369333333333333,0.9045,0.2269005847953216,-1.99665,0.0,0,1.0,0.46315215251570707,phosphatidylinositol-4-phosphate 5-kinase,PIP5K
PF3D7_0110700,0.5932227623677437,0.6390333333333333,0.3595,0.8834080717488789,-0.4804999999999999,0.0,0,1.0,0.6533424228640091,"chromatin assembly factor 1 subunit C, putative",CAF1C
PF3D7_0110800,0.7273377180440378,0.1425666666666666,0.22,0.6839237057220708,-2.71985,0.0,0,1.0,0.6640779647670748,"transcription initiation factor TFIIB, putative",
PF3D7_0110900,0.7505364039479331,0.12,0.267,0.946236559139785,-3.014,0.0,0,1.0,0.8797035750086803,adenylate kinase-like protein 1,AKLP1
PF3D7_0111000,0.5085787818129825,0.9904666666666668,0.5495,0.2638221153846153,0.2494999999999998,0.0,0,0.0,0.03619885258410527,"kinesin-8B, putative",
PF3D7_0111300,0.7273377180440378,0.3197666666666667,0.849,0.1885175664095972,-2.3355,0.0,0,0.0,0.1375907536808825,"P-loop containing nucleoside triphosphate hydrolase, putative",
PF3D7_0111500,0.6642836717186159,0.1364333333333333,0.641,0.6495956873315364,-2.264,1.0,0,1.0,0.7008233004478136,"UMP-CMP kinase, putative",
